reservation_id,user_id,user_total_bookings,user_cancelled_bookings,user_recent_bookings_30d,loyalty_level,loyalty_points,date_reservation,seance_date_heure,days_until_seance,booking_lead_hours,seance_hour,seance_weekday,is_weekend,prix_base,langue,film_genre,seat_number,is_premium_seat,statut,cancellation_target
1,1,1,1,0,BRONZE,90,2026-03-15T07:00:00,2026-03-29T23:00:00,14,352,23,6,1,26.81,EN,Animation,5,1,CANCELLED,1
2,1,2,1,1,BRONZE,90,2026-02-23T03:00:00,2026-03-06T03:00:00,11,264,3,4,0,24.04,EN,Sci-Fi,90,0,CONFIRMED,0
3,1,3,1,2,BRONZE,90,2025-11-20T02:00:00,2025-12-07T14:00:00,17,420,14,6,1,29.39,AR,Comedy,55,0,CONFIRMED,0
4,1,4,1,2,BRONZE,90,2026-01-23T07:00:00,2026-01-25T12:00:00,2,53,12,6,1,19.6,FR,Drama,34,0,PENDING,0
5,1,5,1,4,BRONZE,90,2025-12-03T07:00:00,2025-12-23T05:00:00,20,478,5,1,0,19.57,EN,Romance,80,0,CONFIRMED,0
6,1,6,2,2,BRONZE,90,2026-03-01T08:00:00,2026-03-02T13:00:00,1,29,13,0,0,25.23,AR,Thriller,110,0,CANCELLED,1
7,1,7,2,3,BRONZE,90,2026-03-24T22:00:00,2026-03-31T02:00:00,7,148,2,1,0,21.07,AR,Comedy,46,0,CONFIRMED,0
8,1,8,2,7,BRONZE,90,2025-10-27T08:00:00,2025-11-09T13:00:00,13,317,13,6,1,24.7,EN,Comedy,60,0,PENDING,0
9,1,9,2,8,BRONZE,90,2025-11-06T17:00:00,2025-11-11T15:00:00,5,118,15,1,0,25.69,AR,Romance,30,0,PENDING,0
10,1,10,3,5,BRONZE,90,2026-01-07T02:00:00,2026-01-08T17:00:00,1,39,17,3,0,16.22,VO,Thriller,41,0,CANCELLED,1
11,1,11,3,8,BRONZE,90,2025-12-12T22:00:00,2026-01-01T00:00:00,20,458,0,3,0,30.29,FR,Comedy,32,0,CONFIRMED,0
12,1,12,3,11,BRONZE,90,2025-11-20T21:00:00,2025-12-10T06:00:00,20,465,6,2,0,23.67,FR,Thriller,18,0,CONFIRMED,0
13,1,13,3,2,BRONZE,90,2026-04-07T07:00:00,2026-04-10T19:00:00,3,84,19,4,0,24.55,AR,Drama,9,1,CONFIRMED,0
14,1,14,4,11,BRONZE,90,2025-12-20T18:00:00,2025-12-26T08:00:00,6,134,8,4,0,31.42,AR,Action,93,0,CANCELLED,1
15,1,15,5,13,BRONZE,90,2025-12-03T02:00:00,2025-12-19T17:00:00,16,399,17,4,0,24.82,FR,Drama,59,0,CANCELLED,1
16,1,16,5,6,BRONZE,90,2026-02-10T18:00:00,2026-02-27T06:00:00,17,396,6,4,0,15.57,VO,Thriller,39,0,CONFIRMED,0
17,2,1,0,0,BRONZE,61,2026-04-19T00:00:00,2026-04-29T16:00:00,10,256,16,2,0,12.39,VO,Thriller,107,0,CONFIRMED,0
18,2,2,0,1,BRONZE,61,2026-02-16T16:00:00,2026-02-18T14:00:00,2,46,14,2,0,13.71,EN,Action,98,0,CONFIRMED,0
19,2,3,0,2,BRONZE,61,2025-11-01T19:00:00,2025-11-13T18:00:00,12,287,18,3,0,15.3,EN,Animation,28,0,PENDING,0
20,2,4,0,3,BRONZE,61,2025-10-25T04:00:00,2025-11-09T15:00:00,15,371,15,6,1,18.23,VO,Sci-Fi,57,0,CONFIRMED,0
21,2,5,1,2,BRONZE,61,2026-02-15T03:00:00,2026-02-16T17:00:00,1,38,17,0,0,18.76,EN,Comedy,29,0,CANCELLED,1
22,2,6,1,5,BRONZE,61,2025-11-09T09:00:00,2025-11-14T12:00:00,5,123,12,4,0,13.35,FR,Drama,66,0,CONFIRMED,0
23,2,7,1,3,BRONZE,61,2026-02-23T17:00:00,2026-02-26T18:00:00,3,73,18,3,0,26.47,VO,Animation,32,0,PENDING,0
24,2,8,1,4,BRONZE,61,2026-03-02T07:00:00,2026-03-04T14:00:00,2,55,14,2,0,25.18,FR,Drama,111,0,CONFIRMED,0
25,2,9,2,8,BRONZE,61,2025-11-05T07:00:00,2025-11-06T20:00:00,1,37,20,3,0,20.05,FR,Romance,32,0,CANCELLED,1
26,3,1,1,0,BRONZE,128,2025-12-22T03:00:00,2026-01-10T00:00:00,19,453,0,5,1,30.47,FR,Romance,71,0,CANCELLED,1
27,3,2,1,1,BRONZE,128,2025-11-03T17:00:00,2025-11-21T19:00:00,18,434,19,4,0,12.3,FR,Romance,31,0,CONFIRMED,0
28,3,3,1,0,BRONZE,128,2026-02-23T22:00:00,2026-03-15T10:00:00,20,468,10,6,1,13.17,FR,Thriller,34,0,PENDING,0
29,3,4,1,1,BRONZE,128,2026-02-04T21:00:00,2026-02-19T23:00:00,15,362,23,3,0,31.15,VO,Animation,92,0,CONFIRMED,0
30,3,5,1,2,BRONZE,128,2026-02-23T09:00:00,2026-03-07T23:00:00,12,302,23,5,1,26.71,FR,Drama,7,1,CONFIRMED,0
31,3,6,2,4,BRONZE,128,2025-12-05T05:00:00,2025-12-06T16:00:00,1,35,16,5,1,31.22,FR,Comedy,77,0,CANCELLED,1
32,3,7,2,3,BRONZE,128,2026-02-17T22:00:00,2026-02-20T17:00:00,3,67,17,4,0,30.83,EN,Animation,6,1,CONFIRMED,0
33,3,8,2,7,BRONZE,128,2025-11-20T16:00:00,2025-12-02T01:00:00,12,273,1,1,0,18.33,FR,Sci-Fi,41,0,CONFIRMED,0
34,3,9,2,8,BRONZE,128,2025-10-30T01:00:00,2025-11-09T01:00:00,10,240,1,6,1,18.32,AR,Action,59,0,CONFIRMED,0
35,3,10,3,2,BRONZE,128,2026-03-25T08:00:00,2026-04-06T01:00:00,12,281,1,0,0,16.26,FR,Thriller,113,0,CANCELLED,1
